Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2018,Michigan,-0.1979775413273478,0.5097139951583367,-0.1979775413273478,0.5097139951583367
2019,Michigan,-0.18476457981405936,0.5022081567682111,-0.18476457981405936,0.5022081567682111
2020,Michigan,-0.1680323039668027,0.5441504583316774,-0.1680323039668027,0.5441504583316774
2003,Minnesota,0.014017056487041213,0.06054724979409065,0.014017056487041213,0.06054724979409065
2004,Minnesota,0.019376740656316116,0.09800662654653469,0.019376740656316116,0.09800662654653469
2005,Minnesota,0.02188378661585344,0.14338625174345188,0.02188378661585344,0.14338625174345188
2006,Minnesota,0.01594792177811577,0.1572450879310774,0.01594792177811577,0.1572450879310774
2007,Minnesota,0.028900845822277477,0.18408544306906083,0.028900845822277477,0.18408544306906083
2008,Minnesota,0.034945511806654395,0.24887634235733458,0.034945511806654395,0.24887634235733458
2009,Minnesota,0.05637139840792771,0.6931300024942393,0.05637139840792771,0.6931300024942393
2010,Minnesota,0.05680408056878572,0.4075740925239526,0.05680408056878572,0.4075740925239526
2011,Minnesota,0.04961834041458468,0.300978924226305,0.04961834041458468,0.300978924226305
2012,Minnesota,0.02543010560767245,0.29435066093521134,0.02543010560767245,0.29435066093521134
2013,Minnesota,0.033915635196077654,0.3208747485994847,0.033915635196077654,0.3208747485994847
2014,Minnesota,0.04520723828635331,0.3584716014609646,0.04520723828635331,0.3584716014609646
2015,Minnesota,0.08144746667507885,0.42679064646348697,0.08144746667507885,0.42679064646348697
2016,Minnesota,0.10517296365253515,0.5291173945695498,0.10517296365253515,0.5291173945695498
2017,Minnesota,0.12055843272330735,0.4782694671977663,0.12055843272330735,0.4782694671977663
2018,Minnesota,0.12421188197932298,0.4913072965946139,0.12421188197932298,0.4913072965946139
2019,Minnesota,0.13259310679989955,0.5184701779836027,0.13259310679989955,0.5184701779836027
2020,Minnesota,0.1418548896586873,0.552175380534994,0.1418548896586873,0.552175380534994
2003,Mississippi,0.036593460426223245,0.047971663078570925,0.036593460426223245,0.047971663078570925
